[3A],[3AB],[6A],[9B],[19B],[60B],[61B],[62B],[64B],[69B]|19.8519122087|45.2542020579|BUL. MIHAJLA PUPINA - DUNAVSKI PARK||I
[3A],[3AB],[9B],[19B],[69B]|19.8689433116|45.2526031657|PRERADOVIĆEVA - LOVAČKI DOM|ee6414|I
[3A],[3AB],[9B],[19B],[60B],[61B],[62B],[64B],[69B]|19.8623634945|45.2548163902|BEOGRADSKA - VLADIMIRA NAZORA|ee6514|I
[3AB],[4A],[5NB],[7B],[10A],[14A],[15A],[17A],[18B],[64B],[68B],[69B],[71B],[72B],[73B],[74B],[76B]|19.8351029309|45.255629856|BUL. OSLOBOĐENJA - POKRAJINSKI SUP|ee2920|I
[3AB],[4A],[5NB],[7B],[10A],[14A],[15A],[17A],[51B],[52B],[53B],[54B],[55B],[60B],[61B],[62B],[64B],[68B],[69B],[71B],[72B],[73B],[74B],[76B],[77B],[78B],[79B],[80B],[81B],[84B]|19.8318492939|45.2613766166|BUL. OSLOBOĐENJA - KRALJA PETRA I|1035|I
[3AB],[4A],[5A],[5NB],[7BB],[10A],[14A],[15A],[17A],[18BB],[60B],[61B],[62B],[64B],[68B],[69B],[71B],[71AB],[72B],[73B],[74B],[76B],[77B],[78B],[79B],[80B],[81B],[84B]|19.8368000824|45.2525198464|BUL. OSLOBOĐENJA - FUTOŠKA PIJACA||I
[3AA],[3AB]|19.887341|45.246386|POBEDA|1017|I
[3A],[3AB],[9B],[19B],[60B],[61B],[62B],[64B],[69B]|19.8732154355|45.251431704|PRERADOVIĆEVA - ŠENOINA||I
[1B], [1ZB],[4A],[8B],[9A],[11A],[18B]|19.8492059684|45.2481301777|STRAŽILOVSKA - URBIS|ee5513|I
[4A],[7B],[11A]|19.8276347235|45.2373436138|NARODNOG FRONTA - IVE ANDRIĆA|925|I
[1B],[1ZB],[3A],[3AB],[4A],[6A],[8B],[12B],[18B],[19B]|19.844141|45.253519|BUL. MIHAJLA PUPINA - POTHODNIK|ee948|I
[1B],[1ZB],[4A],[8B],[9A],[12B],[18B],[60A],[61A],[62A],[64A],[69A]|19.8475593745|45.2528535063|ŽARKA ZRENJANINA - IZVRŠNO VEĆE|ee8616|I
[4A],[7B],[11A]|19.833210388|45.2388659784|NARODNOG FRONTA - BALZAKOVA|ee9417|I
[4A],[7B],[11A]|19.8384767147|45.2403689153|NARODNOG FRONTA - ŠEKSPIROVA|ee9517|I
[4A],[11A]|19.843435786|45.2417640206|NARODNOG FRONTA - BUL. OSLOBOĐENJA|ee9617|I
[1B],[1ZB],[4A],[8B],[11A],[13B]|19.847528317|45.2429842112|FRUŠKOGORSKA - DR. I. ĐURIČIĆA|ee0018|I
[3AB],[4A],[5NB],[7B],[10A],[14A],[15A],[17A],[18B],[64B],[68B],[69B],[71B],[72B],[73B],[74B],[76B]|19.8351029309|45.255629856|BUL. OSLOBOĐENJA - POKRAJINSKI SUP|ee2920|I
[3AB],[4A],[5NB],[7B],[10A],[14A],[15A],[17A],[51B],[52B],[53B],[54B],[55B],[60B],[61B],[62B],[64B],[68B],[69B],[71B],[72B],[73B],[74B],[76B],[77B],[78B],[79B],[80B],[81B],[84B]|19.8318492939|45.2613766166|BUL. OSLOBOĐENJA - KRALJA PETRA I|1035|I
[3AB],[4A],[5A],[5NB],[7BB],[10A],[14A],[15A],[17A],[18BB],[60B],[61B],[62B],[64B],[68B],[69B],[71B],[71AB],[72B],[73B],[74B],[76B],[77B],[78B],[79B],[80B],[81B],[84B]|19.8368000824|45.2525198464|BUL. OSLOBOĐENJA - FUTOŠKA PIJACA||I
[3AA],[4A],[5NB],[11A],[11B],[16B],[17B],[21B],[22B],[23B],[24B],[41B],[42B],[43B],[52B],[53B],[54B],[55B],[56B],[64B],[68B],[69B],[71B],[72B],[73B],[74B],[76B]|19.830132455|45.2650202834|ŽELEZNIČKA STANICA - DOLASCI|ee0646|I
[4A],[4B]|19.8262756442|45.2371046813|NARODNOG FRONTA - IVE ANDRIĆA|ee766|I
[4B],[7A],[11B]|19.8273963747|45.2374119519|NARODNOG FRONTA - IVE ANDRIĆA|1026|I
[1A],[1ZA],[4B],[8A],[9B],[12A],[60B],[61B],[62B],[64B],[69B],[18A]|19.8471827488|45.2524025428|ŽARKA ZRENJANINA - OPŠTINA|ee2711|I
[1A],[1ZA],[3B],[3AA],[4B],[6B],[8A],[12A],[18A],[19A]|19.844187|45.253337|BUL. MIHAJLA PUPINA - POTHODNIK|ee806|I
[1A],[1ZA],[4B],[8A],[9B],[11B],[18A]|19.8488525074|45.2474414598|BUL. CARA LAZARA - URBIS|ee8817|I
[4B],[11B]|19.8467941518|45.2424582038|NARODNOG FRONTA - FRUŠKOGORSKA|ee0118|I
[4B],[7A],[11B]|19.8370412179|45.2400602044|NARODNOG FRONTA - ŠEKSPIROVA|ee0318|I
[4B],[7A],[11B]|19.8316359129|45.23861537|NARODNOG FRONTA - BALZAKOVA|ee0418|I
[3AA],[4B],[5B],[5NA],[7A],[10B],[14B],[15B],[18A],[64A],[68A],[69A],[71A],[72A],[73A],[74A],[76A]|19.8353175469|45.2545506888|BUL. OSLOBOÐENJA - NOVOSADSKOG SAJMA|ee3721|I
[2B],[3AA],[4B],[5B],[5NA],[6B],[10B],[14B],[15B],[18A]|19.8377609655|45.2522080286|JEVREJSKA - BUL. OSLOBOĐENJA||I
[4B],[7A],[11B]|19.8415475397|45.2414328005|NARODNOG FRONTA - BUL. OSLOBOĐENJA|941|I
[3AA],[4B],[5NA],[7A],[10B],[14B],[15B],[18A],[51A],[52A],[53A],[54A],[55A],[60A],[61A],[62A],[64A],[68A],[69A],[71A],[72A],[73A],[74A],[76A],[77A],[78A],[79A],[80A],[81A],[84A]|19.8322222835|45.2601777537|BUL. OSLOBOĐENJA - KRALJA PETRA I|1030|I
[3AA],[4B],[5NA]|19.8295879176|45.264478508|ŽELEZNIČKA STANICA|ee1346|I
[4A],[4B]|19.8262756442|45.2371046813|NARODNOG FRONTA - IVE ANDRIĆA|ee766|I
[3AA],[4B],[5NA],[7A],[10B],[14B],[15B],[18A],[51A],[52A],[53A],[54A],[55A],[60A],[61A],[62A],[64A],[68A],[69A],[71A],[72A],[73A],[74A],[76A],[77A],[78A],[79A],[80A],[81A],[84A]|19.8322222835|45.2601777537|BUL. OSLOBOĐENJA - KRALJA PETRA I|1036|I
[5A],[5NB]|19.8414877223|45.2554480126|USPENSKA - ŠAFARIKOVA|ee271|I
[3A],[5A],[11B],[18B]|19.8213763649|45.260450059|RUMENAČKA - DOM ZDRAVLJA|ee7115|I
[5A],[14A]|19.8121474846|45.2681204351|RUMENAČKI PUT - BENZINSKA PUMPA|ee7725|I
[5A]|19.80785211|45.2704064001|AVIJATIČARSKA - RUMENAČKI PUT|ee7825|I
[5A],[5B]|19.8051343851|45.2664847055|AVIJATIČARSKA - KASARNA - OKRETNICA|ee7925|I
[5A],[5NB],[20B],[30B],[31B],[32B],[33B]|19.8304360891|45.2993083361|TEMERINSKI PUT - SAVSKA||I
[5A],[5NB],[20B],[30B]|19.8304491318|45.2957648457|TEMERINSKI PUT - VELEBITSKA||I
[5A],[5NB],[20B],[30B]|19.8304941804|45.2933241684|TEMERINSKI PUT - PAJE RADOSAVLJEVA||I
[5A],[5NB],[20B],[30B]|19.8305011638|45.2906889242|TEMERINSKI PUT - MAJKE JUGOVIĆA||I
[5A],[5NB],[20B],[30B],[31B],[32B],[33B]|19.8317289762|45.2880777199|TEMERINSKI PUT - OTOKARA KERŠOVANIJA||I
[5A],[5NB],[20B],[30B],[31B],[32B],[33B]|19.8346922664|45.2828756397|TEMERINSKA - NAJLON PIJACA||I
[5A],[5NB],[20B],[30B]|19.8363835969|45.2802317297|TEMERINSKA - VIDOVDANSKO NASELJE||I
[5A],[5NB],[20B],[30B]|19.8411205686|45.2725760616|TEMERINSKA - ŠAJKAŠKA||I
[5A],[5B],[5NA],[5NB],[20B]|19.8302754549|45.3023192227|TEMERINSKI PUT - NADVOŽNJAK - OKRETNICA||I
[5A],[5NB],[21B],[30B]|19.8430703993|45.2673052212|TEMERINSKA - KOSTE ŠOKICE|ee5832|I
[5A],[5NB],[21B],[30B]|19.8435652321|45.2621466908|TEMERINSKA - PIJACA|ee5932|I
[5A]|19.8339511487|45.2551283388|NOVOSADSKOG SAJMA - BUL.OSLOBOĐENJA|ee7534|I
[5A]|19.8300945566|45.2547426103|NOVOSADSKOG SAJMA -O.Š. PETEFI ŠANDOR|ee7634|I
[11B],[5A]|19.8244393678|45.2545639152|HAJDUK VELJKOVA - NOVOSADSKOG SAJMA|ee7834|I
[3AB],[4A],[5A],[5NB],[7BB],[10A],[14A],[15A],[17A],[18BB],[60B],[61B],[62B],[64B],[68B],[69B],[71B],[71AB],[72B],[73B],[74B],[76B],[77B],[78B],[79B],[80B],[81B],[84B]|19.8368000824|45.2525198464|BUL. OSLOBOĐENJA - FUTOŠKA PIJACA||I
[5A],[5NB],[21B],[22B],[23B],[24B],[30B]|19.8421271396|45.2696690854|TEMERINSKA - PARTIZANSKA||I
